iter	Passed	Remaining
0	64	64367
1	131	65571
2	195	64962
3	257	64185
4	316	63028
5	375	62143
6	438	62227
7	499	61896
8	559	61626
9	617	61147
10	676	60810
11	735	60559
12	797	60566
13	859	60503
14	917	60277
15	977	60143
16	1036	59957
17	1095	59784
18	1154	59620
19	1217	59659
20	1280	59672
21	1336	59424
22	1394	59238
23	1455	59180
24	1517	59170
25	1581	59229
26	1645	59290
27	1708	59306
28	1769	59239
29	1831	59221
30	1893	59174
31	1952	59077
32	2013	59013
33	2077	59033
34	2138	58964
35	2197	58850
36	2258	58770
37	2317	58661
38	2376	58548
39	2434	58424
40	2495	58374
41	2556	58303
42	2618	58267
43	2679	58219
44	2738	58123
45	2799	58052
46	2860	57996
47	2923	57980
48	2983	57900
49	3042	57798
50	3116	57984
51	3176	57908
52	3234	57800
53	3294	57709
54	3355	57650
55	3414	57562
56	3474	57484
57	3535	57416
58	3597	57369
59	3657	57303
60	3716	57214
61	3779	57175
62	3839	57112
63	3900	57044
64	3960	56966
65	4019	56878
66	4075	56757
67	4139	56732
68	4197	56629
69	4255	56534
70	4314	56447
71	4373	56375
72	4433	56297
73	4492	56213
74	4554	56175
75	4616	56128
76	4678	56080
77	4737	55997
78	4797	55931
79	4857	55860
80	4919	55817
81	4982	55778
82	5042	55713
83	5101	55625
84	5159	55544
85	5218	55460
86	5279	55400
87	5341	55352
88	5407	55346
89	5466	55275
90	5527	55214
91	5588	55158
92	5647	55082
93	5708	55021
94	5768	54955
95	5832	54918
96	5891	54846
97	5952	54785
98	6011	54707
99	6070	54632
100	6130	54566
101	6193	54523
102	6256	54483
103	6315	54408
104	6375	54345
105	6435	54279
106	6495	54209
107	6554	54135
108	6617	54089
109	6681	54061
110	6743	54007
111	6803	53940
112	6862	53866
113	6922	53804
114	6982	53733
115	7042	53666
116	7103	53610
117	7161	53529
118	7222	53470
119	7282	53402
120	7341	53332
121	7401	53269
122	7463	53213
123	7525	53160
124	7585	53099
125	7648	53057
126	7710	53002
127	7771	52943
128	7830	52871
129	7894	52832
130	7956	52777
131	8015	52706
132	8074	52634
133	8134	52569
134	8194	52505
135	8254	52438
136	8318	52401
137	8377	52326
138	8436	52256
139	8494	52183
140	8553	52110
141	8627	52131
142	8689	52076
143	8751	52022
144	8812	51963
145	8871	51894
146	8933	51837
147	8991	51763
148	9050	51689
149	9131	51745
150	9236	51932
151	9304	51911
152	9364	51842
153	9423	51766
154	9483	51698
155	9544	51639
156	9603	51562
157	9663	51500
158	9723	51430
159	9785	51375
160	9852	51342
161	9914	51288
162	9981	51252
163	10044	51201
164	10108	51156
165	10172	51106
166	10233	51046
167	10294	50980
168	10352	50906
169	10417	50862
170	10478	50797
171	10537	50726
172	10597	50658
173	10655	50584
174	10715	50515
175	10779	50468
176	10842	50416
177	10901	50343
178	10962	50279
179	11022	50214
180	11081	50143
181	11141	50074
182	11207	50033
183	11272	49992
184	11335	49936
185	11400	49891
186	11468	49858
187	11531	49807
188	11595	49757
189	11659	49706
190	11720	49642
191	11780	49577
192	11847	49537
193	11914	49498
194	11980	49459
195	12051	49436
196	12119	49401
197	12187	49366
198	12253	49320
199	12317	49270
200	12383	49226
201	12449	49181
202	12514	49134
203	12578	49080
204	12638	49011
205	12707	48980
206	12773	48934
207	12836	48879
208	12902	48830
209	12964	48769
210	13027	48715
211	13091	48661
212	13161	48629
213	13230	48594
214	13300	48562
215	13366	48514
216	13435	48480
217	13503	48439
218	13573	48404
219	13640	48362
220	13711	48331
221	13783	48305
222	13852	48266
223	13924	48236
224	13997	48213
225	14066	48173
226	14141	48155
227	14221	48154
228	14306	48166
229	14376	48130
230	14444	48085
231	14511	48038
232	14585	48012
233	14665	48007
234	14744	47997
235	14825	47993
236	14907	47993
237	14991	47998
238	15068	47978
239	15164	48022
240	15252	48034
241	15323	47998
242	15405	47992
243	15485	47979
244	15576	48001
245	15653	47979
246	15732	47961
247	15814	47954
248	15890	47925
249	15964	47892
250	16038	47858
251	16111	47822
252	16182	47779
253	16253	47735
254	16327	47703
255	16403	47673
256	16482	47650
257	16559	47623
258	16640	47609
259	16719	47586
260	16795	47555
261	16871	47523
262	16948	47494
263	17026	47468
264	17111	47461
265	17191	47439
266	17273	47421
267	17356	47407
268	17435	47380
269	17518	47364
270	17604	47356
271	17690	47348
272	17778	47344
273	17870	47349
274	17950	47325
275	18024	47282
276	18094	47227
277	18163	47172
278	18233	47118
279	18303	47067
280	18379	47028
281	18453	46985
282	18526	46937
283	18593	46877
284	18669	46837
285	18740	46786
286	18813	46738
287	18885	46690
288	18955	46635
289	19021	46569
290	19089	46509
291	19155	46445
292	19225	46390
293	19291	46326
294	19358	46262
295	19424	46199
296	19494	46142
297	19563	46084
298	19632	46028
299	19699	45965
300	19766	45903
301	19831	45835
302	19898	45774
303	19965	45710
304	20035	45653
305	20103	45593
306	20170	45531
307	20237	45468
308	20302	45401
309	20370	45340
310	20441	45286
311	20509	45226
312	20589	45191
313	20665	45148
314	20738	45098
315	20811	45047
316	20885	44998
317	20961	44954
318	21033	44903
319	21105	44850
320	21190	44824
321	21261	44767
322	21331	44711
323	21397	44645
324	21464	44579
325	21531	44516
326	21598	44452
327	21665	44388
328	21739	44337
329	21812	44285
330	21890	44244
331	21963	44191
332	22035	44136
333	22108	44083
334	22182	44033
335	22257	43985
336	22329	43930
337	22410	43892
338	22493	43859
339	22567	43807
340	22642	43757
341	22735	43742
342	22812	43696
343	22887	43645
344	22963	43597
345	23043	43556
346	23127	43521
347	23209	43484
348	23295	43454
349	23377	43414
350	23459	43376
351	23537	43330
352	23609	43272
353	23681	43215
354	23754	43160
355	23834	43116
356	23909	43064
357	23982	43008
358	24057	42954
359	24130	42898
360	24207	42848
361	24291	42811
362	24364	42755
363	24437	42699
364	24508	42637
365	24577	42574
366	24653	42523
367	24724	42461
368	24795	42401
369	24864	42336
370	24933	42272
371	25004	42212
372	25076	42152
373	25140	42080
374	25207	42013
375	25273	41942
376	25338	41872
377	25408	41809
378	25481	41751
379	25554	41693
380	25629	41639
381	25705	41586
382	25779	41530
383	25862	41488
384	25936	41431
385	26016	41384
386	26098	41340
387	26174	41285
388	26246	41225
389	26323	41172
390	26392	41108
391	26466	41050
392	26533	40982
393	26601	40915
394	26668	40846
395	26742	40789
396	26822	40740
397	26900	40689
398	26978	40636
399	27048	40572
400	27124	40517
401	27198	40459
402	27270	40398
403	27341	40335
404	27411	40271
405	27487	40216
406	27559	40153
407	27630	40090
408	27694	40018
409	27759	39946
410	27825	39876
411	27892	39807
412	27960	39741
413	28030	39676
414	28097	39607
415	28164	39538
416	28227	39463
417	28291	39391
418	28357	39321
419	28428	39258
420	28492	39186
421	28556	39113
422	28621	39041
423	28685	38969
424	28750	38897
425	28817	38829
426	28884	38760
427	28948	38688
428	29013	38616
429	29079	38547
430	29144	38476
431	29209	38405
432	29278	38339
433	29342	38267
434	29405	38193
435	29470	38122
436	29535	38050
437	29600	37980
438	29669	37914
439	29733	37842
440	29800	37774
441	29864	37702
442	29929	37631
443	29994	37560
444	30057	37487
445	30124	37419
446	30187	37345
447	30252	37275
448	30316	37203
449	30379	37130
450	30444	37059
451	30511	36991
452	30575	36919
453	30640	36850
454	30708	36782
455	30775	36715
456	30842	36646
457	30912	36581
458	30980	36515
459	31046	36446
460	31111	36375
461	31176	36304
462	31237	36229
463	31299	36156
464	31362	36083
465	31423	36009
466	31485	35935
467	31545	35859
468	31607	35785
469	31668	35711
470	31727	35634
471	31792	35564
472	31863	35500
473	31929	35432
474	32001	35369
475	32065	35298
476	32130	35228
477	32205	35170
478	32266	35095
479	32328	35022
480	32390	34948
481	32453	34877
482	32514	34803
483	32575	34728
484	32641	34660
485	32704	34588
486	32766	34515
487	32829	34444
488	32894	34374
489	32955	34300
490	33020	34231
491	33095	34172
492	33156	34097
493	33218	34025
494	33279	33951
495	33341	33878
496	33399	33802
497	33464	33733
498	33528	33662
499	33589	33589
500	33652	33518
501	33714	33445
502	33776	33373
503	33840	33303
504	33901	33230
505	33963	33158
506	34025	33085
507	34087	33013
508	34148	32940
509	34212	32871
510	34285	32809
511	34355	32745
512	34420	32676
513	34496	32617
514	34561	32548
515	34624	32477
516	34689	32408
517	34752	32337
518	34821	32271
519	34890	32206
520	34956	32138
521	35018	32066
522	35087	32001
523	35153	31933
524	35222	31867
525	35288	31799
526	35361	31737
527	35428	31671
528	35493	31601
529	35554	31529
530	35621	31462
531	35688	31395
532	35751	31324
533	35815	31254
534	35884	31188
